Date,Open,High,Low,Close,Adj Close,Volume
2/8/2019,3375.330078,3735.100098,3363.320068,3660.030029,3660.030029,317023029
2/9/2019,3660.030029,3673.709961,3616.110107,3652.26001,3652.26001,94200588
2/10/2019,3652.26001,3689.320068,3611.459961,3685.139893,3685.139893,109365095
2/11/2019,3685.139893,3688.590088,3608.179932,3611.340088,3611.340088,146354074
2/12/2019,3611.340088,3648.669922,3574.219971,3617.409912,3617.409912,164816438
2/13/2019,3617.409912,3655.889893,3590.01001,3605.870117,3605.870117,146822348
2/14/2019,3605.870117,3619.699951,3567.389893,3588.719971,3588.719971,117804856
2/15/2019,3588.719971,3640.649902,3575.949951,3593.48999,3593.48999,130398989
2/16/2019,3593.48999,3639.75,3592.040039,3617.23999,3617.23999,86973822
2/17/2019,3617.23999,3706.169922,3608.179932,3670.919922,3670.919922,134218331
2/18/2019,3670.919922,3952.439941,3661.419922,3912.570068,3912.570068,376203280
2/19/2019,3912.570068,4010.909912,3882.52002,3924.23999,3924.23999,292137057
2/20/2019,3924.23999,3992.310059,3898.909912,3974.050049,3974.050049,209282292
2/21/2019,3974.050049,4026.540039,3900.280029,3937.040039,3937.040039,187314178
2/22/2019,3937.040039,3996.149902,3917.659912,3983.530029,3983.530029,170405341
2/23/2019,3983.530029,4192.390137,3948.47998,4149.089844,4149.089844,231174632
2/24/2019,4149.089844,4221.620117,3755.379883,3771.620117,3771.620117,319071544
2/25/2019,3771.620117,3885.060059,3771.530029,3845.51001,3845.51001,185036583
2/26/2019,3845.51001,3852.659912,3791.899902,3817.879883,3817.879883,126868886
2/27/2019,3817.879883,3851.840088,3699.530029,3830.719971,3830.719971,175069054
2/28/2019,3830.719971,3909.860107,3798,3823.370117,3823.370117,170646670
3/1/2019,3823.370117,3866.120117,3822.669922,3831.47998,3831.47998,101774924
3/2/2019,3831.47998,3846.379883,3790.73999,3842.939941,3842.939941,73894412
3/3/2019,3842.939941,3853.280029,3788.040039,3812.310059,3812.310059,64065044
3/4/2019,3812.310059,3831.01001,3705.139893,3731.280029,3731.280029,147245676
3/5/2019,3731.280029,3893.52002,3720.48999,3874.179932,3874.179932,165062256
3/6/2019,3874.179932,3916.290039,3839.389893,3874.97998,3874.97998,129520549
3/7/2019,3874.97998,3911.76001,3853.199951,3882.610107,3882.610107,146201726
3/8/2019,3882.610107,3932.02002,3804.97998,3868.02002,3868.02002,153405087
3/9/2019,3868.02002,3975.25,3860.659912,3947.73999,3947.73999,108370246
3/10/2019,3947.73999,3948.209961,3897.820068,3929.840088,3929.840088,68252920
3/11/2019,3929.840088,3941.98999,3849.449951,3874.889893,3874.889893,126998648
3/12/2019,3874.889893,3904.699951,3827.22998,3888.570068,3888.570068,130291591
3/13/2019,3888.570068,3898.25,3853.060059,3878.439941,3878.439941,108286926
3/14/2019,3878.439941,3922.209961,3825.030029,3881.439941,3881.439941,133931876
3/15/2019,3881.439941,3935.100098,3876.169922,3927.080078,3927.080078,125588541
3/16/2019,3927.080078,4069.110107,3924.97998,4027.01001,4027.01001,166216280
3/17/2019,4027.01001,4030.379883,3970.969971,3998,3998,68146133
3/18/2019,3998,4038.98999,3964.310059,3988.850098,3988.850098,109428478
3/19/2019,3988.850098,4032.040039,3972.469971,4024.139893,4024.139893,118919147
3/20/2019,4024.139893,4064.949951,3995.48999,4056.75,4056.75,148490744
3/21/2019,4056.75,4082.290039,3953.530029,3996.929932,3996.929932,178077036
3/22/2019,3996.929932,4018.209961,3984,4000.840088,4000.840088,90726555
3/23/2019,4000.840088,4019.360107,3982.469971,4007.209961,4007.209961,74094017
3/24/2019,4007.209961,4010.300049,3970.350098,3994.110107,3994.110107,64375076
3/25/2019,3994.110107,4005.290039,3887.679932,3924.550049,3924.550049,136398998
3/26/2019,3924.550049,3943.199951,3902.52002,3942.219971,3942.219971,93805733
3/27/2019,3942.219971,4054.320068,3932.790039,4045.97998,4045.97998,149005782
3/28/2019,4045.97998,4046.439941,4014.689941,4036.449951,4036.449951,102296341
3/29/2019,4036.449951,4122.890137,4031.219971,4111.379883,4111.379883,170915132
3/30/2019,4111.379883,4146.879883,4066.870117,4118.129883,4118.129883,102400533
3/31/2019,4118.129883,4129.430176,4098.790039,4112.689941,4112.689941,56727425
3/31/2019,4112.689941,4164.330078,4082.199951,4151.319824,4151.319824,152826759
4/1/2019,4151.319824,5104.419922,4147.700195,4906.930176,4906.930176,814748125
4/2/2019,4906.930176,5335.700195,4831.589844,4976.589844,4976.589844,809158339
4/3/2019,4976.589844,5071.97998,4799.77002,4913.359863,4913.359863,370109007
4/4/2019,4913.359863,5074.129883,4897.609863,5047.22998,5047.22998,280722247
4/5/2019,5047.22998,5240.189941,4938,5057.25,5057.25,275839573
4/6/2019,5057.25,5266.040039,5044.279785,5201.160156,5201.160156,243329883
4/7/2019,5201.160156,5347.879883,5141.22998,5294.089844,5294.089844,366577921
4/8/2019,5294.089844,5294.089844,5159.129883,5201.299805,5201.299805,253577595
4/9/2019,5201.299805,5460.939941,5178.609863,5318.600098,5318.600098,349643837
4/10/2019,5318.600098,5343.660156,4987.649902,5048.560059,5048.560059,356811374
4/11/2019,5048.560059,5118.609863,4927.620117,5081.5,5081.5,220667543
4/12/2019,5081.5,5128.959961,5056.189941,5080.660156,5080.660156,118956124
4/13/2019,5080.660156,5186.819824,5031.200195,5165.589844,5165.589844,108148233
4/14/2019,5165.589844,5195.310059,4969.310059,5037.27002,5037.27002,205867031
4/15/2019,5037.27002,5232.029785,5029.160156,5212.810059,5212.810059,207311534
4/16/2019,5212.810059,5270.759766,5190.810059,5236.259766,5236.259766,194699629
4/17/2019,5236.259766,5317.779785,5232.990234,5289.75,5289.75,187312150
4/18/2019,5289.75,5353.009766,5212.180176,5295.529785,5295.529785,158699049
4/19/2019,5295.529785,5366.600098,5274.450195,5326.180176,5326.180176,123577001
4/20/2019,5326.180176,5348.589844,5232.77002,5305.740234,5305.740234,134681237
